Id,countryCode,holidayDate,holidayDesc
1000,IN/IND,1/26/2012 00:00,Republic Day
1001,IN/IND,02/05/2012 00:00,Milad-Un-Nabi ( Id-E-Milad )
1002,IN/IND,02/20/2012 00:00,Maha Shivratri
1003,IN/IND,03/08/2012 00:00,Holi
1004,IN/IND,04/05/2012 00:00,Mahavir Jayanthi
1005,IN/IND,04/06/2012 00:00,Good Friday
1006,IN/IND,05/01/2012 00:00,May Day
1007,IN/IND,05/06/2012 00:00,Buddha Purnima
1008,IN/IND,08/10/2012 00:00,Krishna Janmastami
1009,IN/IND,08/15/2012 00:00,Independence Day
1010,IN/IND,08/20/2012 00:00,Id-Ul-Fitr
1011,IN/IND,09/19/2012 00:00,Ganesh Chaturthi
1012,IN/IND,10/02/2012 00:00,Mahatma Gandhi Jayanthi
1013,IN/IND,10/24/2012 00:00,Vijaya Dashami
1014,IN/IND,10/27/2012 00:00,Bakri Id ( Idul Zuha )
1015,IN/IND,11/13/2012 00:00,Diwali
1016,IN/IND,11/25/2012 00:00,Muharram
1017,IN/IND,11/28/2012 00:00,Guru Nanak Jayanthi
1018,IN/IND,12/25/2012 00:00,Christmas
